"filename", "language", "C#", "XML", "Markdown", "PostCSS", "ASP.NET Razor", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\Database_Documentation.md", "Markdown", 0, 0, 135, 0, 0, 0, 0, 0, 35, 170
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\MiniERP_Clean.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 356, 9, 33, 398
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\README.md", "Markdown", 0, 0, 51, 0, 0, 0, 0, 0, 16, 67
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\Test_Data_Insert.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 295, 69, 72, 436
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\Update_Users_LastLoginDate.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\CariAccountService.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\AuthController.cs", "C#", 145, 0, 0, 0, 0, 0, 0, 37, 31, 213
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\CariAccountsController.cs", "C#", 324, 0, 0, 0, 0, 0, 0, 72, 86, 482
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\CariTypeController.cs", "C#", 208, 0, 0, 0, 0, 0, 0, 27, 30, 265
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\CollectionController.cs", "C#", 163, 0, 0, 0, 0, 0, 0, 36, 38, 237
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\PaymentController.cs", "C#", 176, 0, 0, 0, 0, 0, 0, 39, 41, 256
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\PaymentTypeController.cs", "C#", 209, 0, 0, 0, 0, 0, 0, 26, 30, 265
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\ProductCategoryController.cs", "C#", 205, 0, 0, 0, 0, 0, 0, 27, 30, 262
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\ProductsController.cs", "C#", 785, 0, 0, 0, 0, 0, 0, 0, 0, 785
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\PurchaseInvoicesController.cs", "C#", 185, 0, 0, 0, 0, 0, 0, 57, 29, 271
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\SalesInvoicesController.cs", "C#", 178, 0, 0, 0, 0, 0, 0, 54, 29, 261
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\StockController.cs", "C#", 384, 0, 0, 0, 0, 0, 0, 114, 72, 570
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\UnitController.cs", "C#", 207, 0, 0, 0, 0, 0, 0, 27, 30, 264
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\UserController.cs", "C#", 245, 0, 0, 0, 0, 0, 0, 53, 62, 360
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\CariAccountDto.cs", "C#", 151, 0, 0, 0, 0, 0, 0, 0, 29, 180
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\CommonDto.cs", "C#", 187, 0, 0, 0, 0, 0, 0, 0, 20, 207
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\InvoiceCancellationDto.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\InvoiceDto.cs", "C#", 143, 0, 0, 0, 0, 0, 0, 0, 11, 154
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\PaymentDto.cs", "C#", 124, 0, 0, 0, 0, 0, 0, 0, 11, 135
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\ProductDto.cs", "C#", 88, 0, 0, 0, 0, 0, 0, 0, 8, 96
