Date : 2025-07-27 21:48:20
Directory : c:\Users\kursa\source\repos\MİniERP2_form_siifirdan
Total : 318 files,  122662 codes, 12206 comments, 14458 blanks, all 149326 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C#            |        221 |     42,108 |      6,173 |      4,697 |     52,978 |
| PostCSS       |         18 |     41,090 |        122 |      3,347 |     44,559 |
| JavaScript    |         17 |     27,069 |      5,820 |      5,396 |     38,285 |
| ASP.NET Razor |         51 |     10,928 |         13 |        698 |     11,639 |
| Markdown      |          5 |        772 |          0 |        202 |        974 |
| MS SQL        |          3 |        651 |         78 |        106 |        835 |
| XML           |          3 |         44 |          0 |         12 |         56 |
+---------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |        318 |    122,662 |     12,206 |     14,458 |    149,326 |
| . (Files)                                                                                                                                         |          2 |        568 |          0 |        146 |        714 |
| Database                                                                                                                                          |          5 |        837 |         78 |        157 |      1,072 |
| MiniERP.API                                                                                                                                       |         91 |     11,376 |        741 |      1,762 |     13,879 |
| MiniERP.API (Files)                                                                                                                               |          3 |        157 |         14 |         30 |        201 |
| MiniERP.API\Controllers                                                                                                                           |         13 |      3,414 |        569 |        508 |      4,491 |
| MiniERP.API\DTOs                                                                                                                                  |         10 |        922 |          1 |         97 |      1,020 |
| MiniERP.API\Data                                                                                                                                  |          1 |        206 |          4 |         53 |        263 |
| MiniERP.API\Extensions                                                                                                                            |          1 |         25 |          0 |          4 |         29 |
| MiniERP.API\Mappings                                                                                                                              |          1 |        134 |         18 |         18 |        170 |
| MiniERP.API\Middleware                                                                                                                            |          1 |         71 |          0 |         15 |         86 |
| MiniERP.API\Models                                                                                                                                |         19 |        597 |         19 |        219 |        835 |
| MiniERP.API\Repositories                                                                                                                          |         24 |      1,678 |          7 |        259 |      1,944 |
| MiniERP.API\Services                                                                                                                              |         18 |      4,172 |        109 |        559 |      4,840 |
| MiniERP.Web                                                                                                                                       |        118 |     84,879 |      6,152 |     10,375 |    101,406 |
| MiniERP.Web (Files)                                                                                                                               |          2 |         63 |          9 |         20 |         92 |
| MiniERP.Web\Controllers                                                                                                                           |          9 |      2,659 |         92 |        350 |      3,101 |
| MiniERP.Web\Helpers                                                                                                                               |          1 |         21 |         15 |          5 |         41 |
| MiniERP.Web\ModelBinders                                                                                                                          |          1 |         12 |         21 |          4 |         37 |
| MiniERP.Web\Models                                                                                                                                |          8 |      1,148 |          5 |        273 |      1,426 |
| MiniERP.Web\Services                                                                                                                              |         10 |      1,871 |         55 |        277 |      2,203 |
| MiniERP.Web\Views                                                                                                                                 |         52 |     10,966 |         15 |        707 |     11,688 |
| MiniERP.Web\Views (Files)                                                                                                                         |          2 |          7 |          0 |          4 |         11 |
| MiniERP.Web\Views\ApiTest                                                                                                                         |          2 |        340 |          0 |         27 |        367 |
| MiniERP.Web\Views\Auth                                                                                                                            |          2 |        177 |          0 |         18 |        195 |
| MiniERP.Web\Views\CariAccount                                                                                                                     |          8 |      1,626 |          1 |         74 |      1,701 |
| MiniERP.Web\Views\Dashboard                                                                                                                       |          1 |        364 |          0 |         17 |        381 |
| MiniERP.Web\Views\Home                                                                                                                            |          2 |         12 |          0 |          6 |         18 |
| MiniERP.Web\Views\Product                                                                                                                         |          4 |        844 |          5 |         47 |        896 |
| MiniERP.Web\Views\PurchaseInvoice                                                                                                                 |          5 |      1,462 |          1 |         95 |      1,558 |
| MiniERP.Web\Views\SalesInvoice                                                                                                                    |          5 |      1,611 |          1 |        114 |      1,726 |
| MiniERP.Web\Views\Shared                                                                                                                          |          4 |        338 |          2 |         38 |        378 |
| MiniERP.Web\Views\Stock                                                                                                                           |         13 |      3,391 |          5 |        202 |      3,598 |
| MiniERP.Web\Views\User                                                                                                                            |          4 |        794 |          0 |         65 |        859 |
| MiniERP.Web\wwwroot                                                                                                                               |         35 |     68,139 |      5,940 |      8,739 |     82,818 |
| MiniERP.Web\wwwroot\css                                                                                                                           |          1 |        170 |         12 |         38 |        220 |
| MiniERP.Web\wwwroot\js                                                                                                                            |          1 |          0 |          3 |          2 |          5 |
| MiniERP.Web\wwwroot\lib                                                                                                                           |         33 |     67,969 |      5,925 |      8,699 |     82,593 |
| MiniERP.Web\wwwroot\lib\bootstrap                                                                                                                 |         22 |     53,121 |      1,943 |      4,505 |     59,569 |
| MiniERP.Web\wwwroot\lib\bootstrap\dist                                                                                                            |         22 |     53,121 |      1,943 |      4,505 |     59,569 |
| MiniERP.Web\wwwroot\lib\bootstrap\dist\css                                                                                                        |         16 |     40,882 |        108 |      3,300 |     44,290 |
| MiniERP.Web\wwwroot\lib\bootstrap\dist\js                                                                                                         |          6 |     12,239 |      1,835 |      1,205 |     15,279 |
| MiniERP.Web\wwwroot\lib\jquery                                                                                                                    |          4 |     12,150 |      3,447 |      3,744 |     19,341 |
