"filename", "language", "Markdown", "C#", "XML", "MS SQL", "ASP.NET Razor", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\Database_Documentation.md", "Markdown", 135, 0, 0, 0, 0, 0, 0, 0, 35, 170
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\MiniERP_Clean.sql", "MS SQL", 0, 0, 0, 356, 0, 0, 0, 9, 33, 398
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\README.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 0, 16, 67
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\Test_Data_Insert.sql", "MS SQL", 0, 0, 0, 295, 0, 0, 0, 69, 72, 436
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\Update_Users_LastLoginDate.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\CariAccountService.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\AuthController.cs", "C#", 0, 145, 0, 0, 0, 0, 0, 37, 31, 213
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\CariAccountsController.cs", "C#", 0, 324, 0, 0, 0, 0, 0, 72, 86, 482
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\CariTypeController.cs", "C#", 0, 208, 0, 0, 0, 0, 0, 27, 30, 265
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\ProductCategoryController.cs", "C#", 0, 205, 0, 0, 0, 0, 0, 27, 30, 262
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\ProductsController.cs", "C#", 0, 785, 0, 0, 0, 0, 0, 0, 0, 785
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\PurchaseInvoicesController.cs", "C#", 0, 185, 0, 0, 0, 0, 0, 57, 29, 271
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\SalesInvoicesController.cs", "C#", 0, 178, 0, 0, 0, 0, 0, 54, 29, 261
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\StockController.cs", "C#", 0, 384, 0, 0, 0, 0, 0, 114, 72, 570
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\UnitController.cs", "C#", 0, 207, 0, 0, 0, 0, 0, 27, 30, 264
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\UserController.cs", "C#", 0, 269, 0, 0, 0, 0, 0, 55, 64, 388
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\CariAccountDto.cs", "C#", 0, 151, 0, 0, 0, 0, 0, 0, 29, 180
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\CommonDto.cs", "C#", 0, 187, 0, 0, 0, 0, 0, 0, 20, 207
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\InvoiceCancellationDto.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\InvoiceDto.cs", "C#", 0, 143, 0, 0, 0, 0, 0, 0, 11, 154
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\ProductDto.cs", "C#", 0, 88, 0, 0, 0, 0, 0, 0, 8, 96
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\ReserveStockDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\StockDto.cs", "C#", 0, 144, 0, 0, 0, 0, 0, 0, 11, 155
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\UpdateStockDto.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\UserDto.cs", "C#", 0, 49, 0, 0, 0, 0, 0, 1, 6, 56
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Data\AppDbContext.cs", "C#", 0, 178, 0, 0, 0, 0, 0, 4, 46, 228
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Extensions\ModelStateExtensions.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Mappings\AutoMapperProfile.cs", "C#", 0, 117, 0, 0, 0, 0, 0, 15, 16, 148
